entry_time,exit_time,side,oz,entry_px,exit_px,entry_reason,exit_reason,gross_pnl,costs,net_pnl,bars_held
2025-02-13 14:45:00+00:00,2025-02-13 20:45:00+00:00,short,1.0,2914.38,2928.05,signal,signal,-13.670000000000073,0.16,-13.830000000000073,72
2025-02-14 12:40:00+00:00,2025-02-14 19:35:00+00:00,short,1.0,2929.57,2882.52,signal,signal,47.05000000000018,0.16,46.890000000000185,83
2025-03-11 14:40:00+00:00,2025-03-11 20:45:00+00:00,long,1.0,2919.05,2921.28,signal,signal,2.230000000000018,0.16,2.070000000000018,73
2025-03-12 13:35:00+00:00,2025-03-12 20:30:00+00:00,long,1.0,2920.83,2934.64,signal,signal,13.809999999999945,0.16,13.649999999999945,83
2025-03-13 15:45:00+00:00,2025-03-13 20:45:00+00:00,long,1.0,2964.89,2981.54,signal,signal,16.65000000000009,0.16,16.490000000000094,60
2025-03-19 19:45:00+00:00,2025-03-19 20:45:00+00:00,long,1.0,3047.97,3047.07,signal,signal,-0.8999999999996362,0.16,-1.0599999999996361,12
2025-03-20 00:05:00+00:00,2025-03-20 03:45:00+00:00,long,1.0,3049.25,3047.85,signal,signal,-1.400000000000091,0.16,-1.560000000000091,44
2025-03-25 15:05:00+00:00,2025-03-25 20:45:00+00:00,long,1.0,3033.77,3020.14,signal,signal,-13.63000000000011,0.16,-13.79000000000011,68
2025-03-31 09:15:00+00:00,2025-03-31 16:10:00+00:00,short,1.0,3124.88,3122.83,signal,signal,2.050000000000182,0.16,1.8900000000001818,83
2025-04-01 08:40:00+00:00,2025-04-01 15:35:00+00:00,short,1.0,3128.02,3126.61,signal,signal,1.4099999999998545,0.16,1.2499999999998543,83
2025-04-01 16:15:00+00:00,2025-04-01 20:45:00+00:00,short,1.0,3131.05,3116.88,signal,signal,14.170000000000073,0.16,14.010000000000073,54
2025-04-02 00:05:00+00:00,2025-04-02 00:15:00+00:00,short,1.0,3113.62,3111.97,signal,signal,1.650000000000091,0.16,1.4900000000000908,2
2025-04-02 07:05:00+00:00,2025-04-02 14:00:00+00:00,short,1.0,3117.91,3122.47,signal,signal,-4.559999999999945,0.16,-4.719999999999946,83
2025-04-02 16:40:00+00:00,2025-04-02 20:45:00+00:00,short,1.0,3126.94,3126.54,signal,signal,0.40000000000009095,0.16,0.24000000000009092,49
2025-04-03 00:05:00+00:00,2025-04-03 00:40:00+00:00,short,1.0,3148.72,3159.82,signal,signal,-11.100000000000364,0.16,-11.260000000000364,7
2025-04-03 07:10:00+00:00,2025-04-03 14:05:00+00:00,short,1.0,3130.85,3068.12,signal,signal,62.73000000000002,0.16,62.57000000000002,83
2025-04-03 15:10:00+00:00,2025-04-03 20:45:00+00:00,long,1.0,3106.0,3104.62,signal,signal,-1.3800000000001091,0.16,-1.5400000000001093,67
2025-04-10 16:30:00+00:00,2025-04-10 20:45:00+00:00,long,1.0,3170.73,3174.19,signal,signal,3.4600000000000364,0.16,3.3000000000000362,51
2025-04-11 00:05:00+00:00,2025-04-11 00:25:00+00:00,long,1.0,3189.77,3184.6,signal,signal,-5.170000000000073,0.16,-5.330000000000073,4
2025-04-14 09:30:00+00:00,2025-04-14 16:25:00+00:00,short,1.0,3224.66,3207.75,signal,signal,16.909999999999854,0.16,16.749999999999858,83
2025-04-15 18:45:00+00:00,2025-04-15 20:45:00+00:00,long,1.0,3228.84,3227.94,signal,signal,-0.900000000000091,0.16,-1.0600000000000909,24
2025-04-16 00:05:00+00:00,2025-04-16 02:45:00+00:00,long,1.0,3240.19,3265.86,signal,signal,25.670000000000073,0.16,25.510000000000076,32
2025-04-16 11:20:00+00:00,2025-04-16 18:15:00+00:00,short,1.0,3302.33,3326.79,signal,signal,-24.460000000000036,0.16,-24.620000000000033,83
2025-04-17 08:05:00+00:00,2025-04-17 13:15:00+00:00,short,1.0,3329.75,3336.43,signal,signal,-6.679999999999836,0.16,-6.839999999999836,62
2025-04-17 13:15:00+00:00,2025-04-17 20:10:00+00:00,long,1.0,3336.43,3316.44,signal,signal,-19.98999999999978,0.16,-20.14999999999978,83
2025-04-21 14:05:00+00:00,2025-04-21 20:45:00+00:00,long,1.0,3421.13,3418.38,signal,signal,-2.75,0.16,-2.91,80
2025-04-22 09:20:00+00:00,2025-04-22 16:15:00+00:00,short,1.0,3466.96,3426.16,signal,signal,40.80000000000018,0.16,40.640000000000185,83
2025-04-22 16:30:00+00:00,2025-04-22 20:45:00+00:00,short,1.0,3412.65,3374.87,signal,signal,37.7800000000002,0.16,37.6200000000002,51
2025-04-23 00:05:00+00:00,2025-04-23 00:30:00+00:00,short,1.0,3335.24,3339.62,signal,signal,-4.380000000000109,0.16,-4.540000000000109,5
2025-04-25 00:05:00+00:00,2025-04-25 04:55:00+00:00,long,1.0,3359.49,3336.39,signal,signal,-23.09999999999991,0.16,-23.259999999999906,58
2025-04-28 00:05:00+00:00,2025-04-28 04:45:00+00:00,long,1.0,3312.23,3293.43,signal,signal,-18.800000000000182,0.16,-18.96000000000018,56
2025-04-28 15:25:00+00:00,2025-04-28 20:45:00+00:00,long,1.0,3313.3,3349.91,signal,signal,36.60999999999967,0.16,36.449999999999676,64
2025-04-30 14:40:00+00:00,2025-04-30 20:45:00+00:00,long,1.0,3319.26,3293.16,signal,signal,-26.100000000000364,0.16,-26.26000000000036,73
2025-05-05 20:30:00+00:00,2025-05-05 20:45:00+00:00,long,1.0,3336.37,3334.64,signal,signal,-1.7300000000000182,0.16,-1.8900000000000183,3
2025-05-06 00:05:00+00:00,2025-05-06 04:30:00+00:00,long,1.0,3333.07,3362.7,signal,signal,29.629999999999654,0.16,29.469999999999658,53
2025-05-06 14:15:00+00:00,2025-05-06 20:45:00+00:00,long,1.0,3394.5,3418.38,signal,signal,23.88000000000011,0.16,23.720000000000113,78
2025-05-07 10:20:00+00:00,2025-05-07 17:15:00+00:00,short,1.0,3378.46,3383.34,signal,signal,-4.880000000000109,0.16,-5.040000000000109,83
2025-05-08 07:00:00+00:00,2025-05-08 13:55:00+00:00,short,1.0,3355.55,3351.14,signal,signal,4.410000000000309,0.16,4.250000000000309,83
2025-05-08 16:40:00+00:00,2025-05-08 20:45:00+00:00,short,1.0,3345.02,3302.33,signal,signal,42.690000000000055,0.16,42.53000000000006,49
2025-05-09 00:05:00+00:00,2025-05-09 00:40:00+00:00,short,1.0,3318.49,3315.37,signal,signal,3.119999999999891,0.16,2.9599999999998907,7
2025-05-09 10:15:00+00:00,2025-05-09 17:10:00+00:00,short,1.0,3327.15,3344.45,signal,signal,-17.299999999999727,0.16,-17.459999999999724,83
2025-05-12 07:05:00+00:00,2025-05-12 14:00:00+00:00,short,1.0,3278.22,3233.79,signal,signal,44.429999999999836,0.16,44.26999999999984,83
2025-05-12 14:10:00+00:00,2025-05-12 20:45:00+00:00,long,1.0,3241.31,3234.96,signal,signal,-6.349999999999909,0.16,-6.509999999999909,79
2025-05-20 13:35:00+00:00,2025-05-20 20:30:00+00:00,long,1.0,3248.16,3289.68,signal,signal,41.51999999999998,0.16,41.359999999999985,83
2025-05-23 13:05:00+00:00,2025-05-23 20:00:00+00:00,long,1.0,3348.94,3362.09,signal,signal,13.150000000000091,0.16,12.99000000000009,83
2025-05-29 13:20:00+00:00,2025-05-29 20:15:00+00:00,long,1.0,3308.84,3319.56,signal,signal,10.7199999999998,0.16,10.5599999999998,83
2025-06-04 15:40:00+00:00,2025-06-04 20:45:00+00:00,long,1.0,3378.65,3372.14,signal,signal,-6.510000000000218,0.16,-6.670000000000218,61
2025-06-09 17:25:00+00:00,2025-06-09 20:45:00+00:00,long,1.0,3334.33,3328.13,signal,signal,-6.199999999999818,0.16,-6.359999999999818,40
2025-06-10 00:05:00+00:00,2025-06-10 01:25:00+00:00,long,1.0,3324.78,3322.78,signal,signal,-2.0,0.16,-2.16,16
2025-06-10 20:35:00+00:00,2025-06-10 20:45:00+00:00,long,1.0,3333.49,3333.56,signal,signal,0.07000000000016371,0.16,-0.0899999999998363,2
2025-06-11 00:05:00+00:00,2025-06-11 04:35:00+00:00,long,1.0,3324.1,3341.07,signal,signal,16.970000000000255,0.16,16.810000000000258,54
2025-06-11 13:35:00+00:00,2025-06-11 20:30:00+00:00,long,1.0,3355.67,3345.13,signal,signal,-10.539999999999964,0.16,-10.699999999999964,83
2025-06-13 14:05:00+00:00,2025-06-13 20:35:00+00:00,long,1.0,3439.19,3434.69,signal,signal,-4.5,0.16,-4.66,78
