entry_i,entry_time,side,oz,entry_px,entry_reason,entry_cost,entry_atr,best_px,exit_i,exit_time,exit_px,gross_pnl,costs,net_pnl,bars_held,exit_reason
150812,1761855000,1,1.0,4025.09,signal,0.08,,4025.09,150819,1761857100,4024.73,-0.36000000000012733,0.16,-0.5200000000001274,7,signal
150846,1761869100,1,1.0,4032.1,signal,0.08,,4032.1,150895,1761883800,4007.43,-24.670000000000073,0.16,-24.83000000000007,49,signal
151009,1761918000,1,1.0,4026.05,signal,0.08,,4026.05,151092,1761942900,3998.01,-28.039999999999964,0.16,-28.19999999999996,83,signal
152418,1762533300,1,1.0,4017.99,signal,0.08,,4017.99,152466,1762547700,3997.66,-20.329999999999927,0.16,-20.489999999999924,48,signal
152494,1762733100,1,1.0,4016.85,signal,0.08,,4016.85,152501,1762735200,4012.55,-4.299999999999727,0.16,-4.459999999999727,7,signal
152650,1762779900,1,1.0,4104.94,signal,0.08,,4104.94,152733,1762804800,4113.22,8.280000000000655,0.16,8.120000000000655,83,signal
153226,1762960500,1,1.0,4161.84,signal,0.08,,4161.84,153292,1762980300,4195.62,33.779999999999745,0.16,33.61999999999975,66,signal
154306,1763473200,1,1.0,4065.91,signal,0.08,,4065.91,154389,1763498100,4071.81,5.900000000000091,0.16,5.740000000000091,83,signal
154849,1763643900,1,1.0,4087.77,signal,0.08,,4087.77,154932,1763668800,4084.73,-3.0399999999999636,0.16,-3.1999999999999638,83,signal
155170,1763744100,1,1.0,4093.75,signal,0.08,,4093.75,155214,1763757300,4063.54,-30.210000000000036,0.16,-30.370000000000033,44,signal
155242,1763942700,1,1.0,4069.66,signal,0.08,,4069.66,155253,1763946000,4067.54,-2.119999999999891,0.16,-2.279999999999891,11,signal
155465,1764009600,1,1.0,4111.68,signal,0.08,,4111.68,155490,1764017100,4131.51,19.829999999999927,0.16,19.66999999999993,25,signal
155517,1764029100,1,1.0,4139.64,signal,0.08,,4139.64,155548,1764038400,4148.96,9.319999999999709,0.16,9.159999999999709,31,signal
156475,1764338400,1,1.0,4182.49,signal,0.08,,4182.49,156544,1764543900,4209.19,26.699999999999818,0.16,26.53999999999982,69,session
156556,1764547500,1,1.0,4221.56,signal,0.08,,4221.56,156558,1764548100,4223.01,1.449999999999818,0.16,1.289999999999818,2,signal
156987,1764680700,1,1.0,4211.52,signal,0.08,,4211.52,157070,1764705600,4196.6,-14.920000000000073,0.16,-15.080000000000073,83,signal
157078,1764708000,1,1.0,4210.18,signal,0.08,,4210.18,157079,1764708300,4210.09,-0.09000000000014552,0.16,-0.25000000000014555,1,signal
157106,1764720300,1,1.0,4209.83,signal,0.08,,4209.83,157161,1764736800,4222.81,12.980000000000473,0.16,12.820000000000473,55,signal
157266,1764768300,1,1.0,4220.23,signal,0.08,,4220.23,157349,1764793200,4210.35,-9.8799999999992,0.16,-10.0399999999992,83,signal
157817,1764941400,1,1.0,4232.99,signal,0.08,,4232.99,157900,1764966300,4206.49,-26.5,0.16,-26.659999999999997,83,signal
158708,1765393500,1,1.0,4206.4,signal,0.08,,4206.4,158728,1765399500,4232.62,26.220000000000255,0.16,26.060000000000258,20,signal
158755,1765411500,1,1.0,4235.2,signal,0.08,,4235.2,158791,1765422300,4220.9,-14.300000000000182,0.16,-14.460000000000182,36,signal
158930,1765464000,1,1.0,4239.79,signal,0.08,,4239.79,159003,1765485900,4273.59,33.80000000000018,0.16,33.640000000000185,73,signal
159734,1765890000,1,1.0,4294.54,signal,0.08,,4294.54,159817,1765914900,4313.26,18.720000000000255,0.16,18.560000000000258,83,signal
160012,1765977300,1,1.0,4323.25,signal,0.08,,4323.25,160095,1766002200,4336.76,13.510000000000218,0.16,13.350000000000218,83,signal
160291,1766064900,1,1.0,4329.65,signal,0.08,,4329.65,160374,1766089800,4332.46,2.8100000000004,0.16,2.6500000000004,83,signal
