entry_i,entry_time,side,oz,entry_px,signal_expiry_i,exit_time,exit_px,gross_pnl,costs,net_pnl,exit_reason,bars_held
29150,1707743700,1,1.0,2026.52,29233,1707768900,2019.77,-6.75,0.16,-6.91,signal,84
30279,1708098000,1,1.0,2007.6,30362,1708116300,2013.0,5.400000000000091,0.16,5.240000000000091,session,60
30575,1708364100,1,1.0,2017.85,30658,1708384200,2016.96,-0.8899999999998727,0.16,-1.0499999999998726,data_gap,23
30609,1708387200,1,1.0,2016.18,30658,1708402200,2018.67,2.490000000000009,0.16,2.330000000000009,signal,50
31590,1708693200,1,1.0,2028.06,31673,1708718400,2037.32,9.259999999999991,0.16,9.09999999999999,signal,84
31952,1708978500,1,1.0,2031.89,32035,1708980900,2032.39,0.5,0.16,0.33999999999999997,session,7
31984,1708992000,1,1.0,2031.27,32035,1709007600,2033.94,2.6700000000000728,0.16,2.5100000000000726,signal,52
32203,1709057700,1,1.0,2035.1,32286,1709067300,2029.99,-5.1099999999999,0.16,-5.2699999999999,session,31
32259,1709078400,1,1.0,2030.09,32286,1709086800,2032.2,2.1100000000001273,0.16,1.9500000000001274,signal,28
32418,1709126100,1,1.0,2032.34,32501,1709151300,2033.66,1.3200000000001637,0.16,1.1600000000001638,signal,84
32697,1709213700,1,1.0,2037.78,32780,1709238900,2044.2,6.420000000000073,0.16,6.260000000000073,signal,84
32993,1709306400,1,1.0,2058.51,33076,1709325900,2084.5,25.98999999999978,0.16,25.82999999999978,session,64
33252,1709560800,1,1.0,2091.68,33335,1709585700,2117.12,25.440000000000055,0.16,25.280000000000054,session,82
33521,1709645400,1,1.0,2131.76,33604,1709670600,2130.56,-1.2000000000002728,0.16,-1.3600000000002728,signal,84
33809,1709735700,1,1.0,2144.33,33892,1709758500,2146.89,2.5599999999999454,0.16,2.3999999999999453,session,75
34067,1709817000,1,1.0,2158.47,34150,1709842200,2158.19,-0.27999999999974534,0.16,-0.4399999999997454,signal,84
34347,1709904900,1,1.0,2178.27,34430,1709930100,2176.44,-1.8299999999999272,0.16,-1.9899999999999272,signal,84
35185,1710340800,1,1.0,2169.44,35268,1710363300,2172.19,2.75,0.16,2.59,session,74
36565,1710947100,1,1.0,2163.41,36648,1710968100,2183.04,19.63000000000011,0.16,19.47000000000011,session,69
37094,1711113600,1,1.0,2172.73,37177,1711138800,2162.47,-10.260000000000218,0.16,-10.420000000000218,signal,84
38246,1711647600,1,1.0,2224.98,38329,1711659300,2221.23,-3.75,0.16,-3.91,session,38
38309,1711929600,1,1.0,2236.95,38329,1711935900,2254.11,17.16000000000031,0.16,17.00000000000031,signal,21
38814,1712085000,1,1.0,2270.91,38897,1712091300,2277.62,6.710000000000036,0.16,6.550000000000036,session,20
38859,1712102400,1,1.0,2281.77,38897,1712114100,2284.06,2.2899999999999636,0.16,2.1299999999999635,signal,39
39596,1712331300,1,1.0,2317.25,39679,1712349900,2321.81,4.559999999999945,0.16,4.399999999999945,session,61
39918,1712604600,1,1.0,2341.75,40001,1712609700,2338.11,-3.6399999999998727,0.16,-3.799999999999873,session,16
39959,1712620800,1,1.0,2338.8,40001,1712633700,2341.03,2.230000000000018,0.16,2.070000000000018,signal,43
